Time [s],Channel 0,Channel 1
22.316726120,1,0
22.316926600,0,0
22.366728120,0,1
22.366926060,1,1
22.416730660,1,0
22.416925720,0,0
22.466732740,0,1
22.466925820,1,1
22.516729540,1,0
22.516924980,0,0
22.566731900,0,1
22.566924260,1,1
22.616734460,1,0
22.616923840,0,0
22.666731000,0,1
22.666923580,1,1
22.716733540,1,0
22.716923340,0,0
22.766735820,0,1
22.766922680,1,1
22.816732920,1,0
22.816922120,0,0
22.866734980,0,1
22.866921860,1,1
22.916737460,1,0
22.916921240,0,0
22.966734420,0,1
22.966921000,1,1
23.016736980,1,0
23.016920700,0,0
23.066739280,0,1
23.066920120,1,1
23.116736360,1,0
23.116919640,0,0
23.166738700,0,1
23.166919120,1,1
23.216735780,1,0
23.216918700,0,0
23.266737800,0,1
23.266918220,1,1
23.316740320,1,0
23.316917880,0,0
23.366737240,0,1
23.366917280,1,1
23.416739420,1,0
23.416917060,0,0
23.466741640,0,1
23.466917220,1,1
23.516744120,1,0
23.516916440,0,0
23.566740660,0,1
23.566916220,1,1
23.616743180,1,0
23.616915420,0,0
23.666745480,0,1
23.666914700,1,1
23.716742580,1,0
23.716914300,0,0
23.766744620,0,1
23.766913940,1,1
23.816747120,1,0
23.816913400,0,0
23.866744080,0,1
23.866912960,1,1
23.916746620,1,0
23.916912540,0,0
23.966748920,0,1
23.966912580,1,1
24.016746000,1,0
24.016911920,0,0
24.066748360,0,1
24.066911620,1,1
24.116745440,1,0
24.116910920,0,0
24.166747440,0,1
24.166910460,1,1
24.216749980,1,0
24.216909980,0,0
24.266746900,0,1
24.266909580,1,1
24.316749060,1,0
24.316909380,0,0
24.366751440,0,1
24.366908600,1,1
24.416748520,1,0
24.416908180,0,0
24.466749200,0,1
24.466908340,1,1
24.516751760,1,0
24.516907720,0,0
24.566754100,0,1
24.566906920,1,1
24.616751240,1,0
24.616906400,0,0
24.666753580,0,1
24.666906140,1,1
24.716756520,1,0
24.716905580,0,0
24.766752920,0,1
24.766905100,1,1
24.816755120,1,0
24.816904960,0,0
24.866756720,0,1
24.866904520,1,1
24.916758820,1,0
24.916904420,0,0
24.966755720,0,1
24.966903420,1,1
25.016757880,1,0
25.016903320,0,0
25.066760180,0,1
25.066902640,1,1
25.116757340,1,0
25.116902160,0,0
25.166759680,0,1
25.166901800,1,1
25.216761800,1,0
25.216901220,0,0
25.266758260,0,1
25.266900780,1,1
25.316760480,1,0
25.316900660,0,0
25.366762060,0,1
25.366899900,1,1
25.416764160,1,0
25.416899420,0,0
25.466764460,0,1
25.466899640,1,1
25.516761600,1,0
25.516898540,0,0
25.566763940,0,1
25.566898200,1,1
25.616766080,1,0
25.616897860,0,0
25.666762520,0,1
25.666897280,1,1
25.716764740,1,0
25.716896920,0,0
25.766766320,0,1
25.766896740,1,1
25.816768420,1,0
25.816896080,0,0
25.866765320,0,1
25.866895540,1,1
25.916767500,1,0
25.916895100,0,0
25.966769780,0,1
25.966894700,1,1
26.016766940,1,0
26.016894520,0,0
26.066769280,0,1
26.066893840,1,1
26.116771400,1,0
26.116893340,0,0
26.166767860,0,1
26.166892920,1,1
26.216770060,1,0
26.216892500,0,0
26.266771660,0,1
26.266892240,1,1
26.316773760,1,0
26.316892000,0,0
26.366770640,0,1
26.366891160,1,1
26.416772820,1,0
26.416890740,0,0
26.466773680,0,1
26.466891220,1,1
26.516776180,1,0
26.516889900,0,0
26.566772720,0,1
26.566889700,1,1
26.616775240,1,0
26.616889280,0,0
26.666777540,0,1
26.666888560,1,1
26.716774620,1,0
26.716891940,0,0
26.766776660,0,1
26.766887680,1,1
26.816779140,1,0
26.816887240,0,0
26.866776100,0,1
26.866886840,1,1
26.916778640,1,0
26.916886600,0,0
26.966780940,0,1
26.966886120,1,1
27.016778020,1,0
27.016885720,0,0
27.066780360,0,1
27.066885240,1,1
27.116777440,1,0
27.116884600,0,0
27.166779440,0,1
27.166884220,1,1
27.216781960,1,0
27.216883780,0,0
27.266778880,0,1
27.266883340,1,1
27.316781060,1,0
27.316883280,0,0
27.366783420,0,1
27.366882460,1,1
27.416780500,1,0
27.416882040,0,0
27.466783320,0,1
27.466882240,1,1
